Date,BIZD,BKLN,BWX,EEM,EFA,EMB,GLD,HYG,IWD,IWF,IWN,IWO,LQD,SCZ,SHY,TIP,TLT,USO
2006-08-31,,,,21.58913803100586,37.588741302490234,,62.290000915527344,,48.66061782836914,40.86006546020508,50.11814498901367,62.20587158203125,49.143856048583984,,56.915672302246094,57.46123504638672,47.878562927246094,518.4000244140625
2006-09-01,,,,21.8301944732666,37.866764068603516,,62.13999938964844,,48.981544494628906,41.18159866333008,50.19306182861328,62.40446853637695,49.085384368896484,,56.98048400878906,57.43962860107422,47.894901275634766,510.0
2006-09-05,,,,21.949615478515625,38.06694030761719,,63.36000061035156,,49.00080490112305,41.26198959350586,50.54724884033203,62.87067794799805,48.9369010925293,,56.916343688964844,57.19504165649414,47.59473419189453,506.4800109863281
2006-09-06,,,,21.31932830810547,37.427490234375,,62.86000061035156,,48.72480773925781,40.81182861328125,49.59365463256836,61.47201156616211,48.9369010925293,,56.916343688964844,57.16658401489258,47.529266357421875,497.6000061035156
2006-09-07,,,,21.076059341430664,36.977073669433594,,61.25,,48.43600082397461,40.546546936035156,49.219017028808594,60.859031677246094,48.98793029785156,,56.916343688964844,57.07561111450195,47.62202072143555,495.1199951171875
2006-09-08,,,,21.248558044433594,36.98821258544922,,60.63999938964844,,48.545101165771484,40.76359939575195,49.45743179321289,60.945369720458984,49.03898239135742,,56.95197677612305,57.04149627685547,47.66026306152344,487.20001220703125
2006-09-11,,,,20.790775299072266,36.76579666137695,,58.5,,48.46807861328125,40.908294677734375,49.61408233642578,60.84178161621094,49.02040100097656,,56.944847106933594,56.89366912841797,47.6165885925293,480.239990234375
2006-09-12,,,,21.146833419799805,37.18838119506836,,58.31999969482422,,48.814659118652344,41.462947845458984,50.588111877441406,62.45624923706055,49.09465789794922,,56.9732780456543,57.00172805786133,47.85671615600586,470.0799865722656
2006-09-13,,,,21.46307945251465,37.11610412597656,,58.619998931884766,,49.0521240234375,41.61568832397461,50.96955108642578,62.92245864868164,49.224613189697266,,56.98048400878906,57.12678527832031,47.87855911254883,472.0
2006-09-14,,,,21.286157608032227,37.1661491394043,,57.189998626708984,,49.03929901123047,41.61568832397461,50.772029876708984,62.68074417114258,49.09930419921875,,56.930633544921875,57.13817596435547,47.76939392089844,465.20001220703125
2006-09-15,,,,21.412214279174805,37.08829879760742,,57.400001525878906,,49.058536529541016,41.72822952270508,50.88098907470703,62.81024169921875,49.066795349121094,,56.95197677612305,56.9561767578125,47.73118591308594,464.32000732421875
2006-09-18,,,,21.653270721435547,37.24399185180664,,58.22999954223633,,49.15483093261719,41.72822952270508,50.874210357666016,62.89657211303711,49.07609176635742,,56.944847106933594,56.916439056396484,47.654788970947266,466.55999755859375
2006-09-19,,,,21.31932830810547,36.89925003051758,,56.91999816894531,,48.981544494628906,41.64783477783203,50.54724884033203,62.49943923950195,49.26633071899414,,57.02312088012695,57.04719543457031,48.189632415771484,450.0
2006-09-20,,,,21.757213592529297,37.260684967041016,,57.2599983215332,,49.174068450927734,41.90508270263672,51.16026306152344,63.4318733215332,49.34523010253906,,57.04450225830078,56.96757125854492,48.26057434082031,440.3999938964844
2006-09-21,,,,21.22644805908203,37.34963607788086,,57.95000076293945,,49.090633392333984,41.61568832397461,50.710723876953125,62.66350173950195,49.642215728759766,,57.14411163330078,57.297428131103516,48.70260238647461,447.1199951171875
